days,Susceptible,Infected,Recovered,Vaccinated
0,31999,1,0,8000
1,31999,1,0,8000
2,31998,2,0,8000
3,31998,2,0,8000
4,31998,2,0,8000
5,31998,2,0,8000
6,31997,3,0,8000
7,31997,2,1,8000
8,31997,2,1,8000
9,31996,2,2,8000
10,31996,2,2,8000
11,31996,2,2,8000
12,31995,3,2,8000
13,31995,2,3,8000
14,31995,2,3,8000
15,31992,5,3,8000
16,31990,6,4,8000
17,31987,9,4,8000
18,31985,11,4,8000
19,31980,15,5,8000
20,31976,19,5,8000
21,31973,22,5,8000
22,31966,26,8,8000
23,31958,32,10,8000
24,31948,39,13,8000
25,31937,48,15,8000
26,31923,57,20,8000
27,31902,74,24,8000
28,31884,89,27,8000
29,31860,106,34,8000
30,31831,127,42,8000
31,31789,159,52,8000
32,31742,195,63,8000
33,31685,238,77,8000
34,31615,287,98,8000
35,31526,358,116,8000
36,31428,432,140,8000
37,31303,528,169,8000
38,31136,653,211,8000
39,30944,798,258,8000
40,30702,983,315,8000
41,30385,1230,385,8000
42,30015,1511,474,8000
43,29599,1829,572,8000
44,29075,2228,697,8000
45,28444,2692,864,8000
46,27735,3209,1056,8000
47,26919,3783,1298,8000
48,26010,4375,1615,8000
49,24943,5072,1985,8000
50,23718,5881,2401,8000
51,22439,6636,2925,8000
52,20990,7454,3556,8000
53,19493,8242,4265,8000
54,17994,8925,5081,8000
55,16503,9507,5990,8000
56,15036,9907,7057,8000
57,13634,10084,8282,8000
58,12387,10052,9561,8000
59,11196,9794,11010,8000
60,10161,9332,12507,8000
61,9289,8705,14006,8000
62,8524,7979,15497,8000
63,7857,7179,16964,8000
64,7325,6309,18366,8000
65,6888,5499,19613,8000
66,6497,4699,20804,8000
67,6194,3967,21839,8000
68,5974,3315,22711,8000
69,5772,2752,23476,8000
70,5604,2253,24143,8000
71,5484,1841,24675,8000
72,5374,1514,25112,8000
73,5299,1198,25503,8000
74,5230,964,25806,8000
75,5186,788,26026,8000
76,5143,629,26228,8000
77,5106,498,26396,8000
78,5080,404,26516,8000
79,5055,319,26626,8000
80,5047,252,26701,8000
81,5034,196,26770,8000
82,5024,162,26814,8000
83,5016,127,26857,8000
84,5006,100,26894,8000
85,5005,75,26920,8000
86,5003,52,26945,8000
87,5001,46,26953,8000
88,4997,37,26966,8000
89,4996,28,26976,8000
90,4996,20,26984,8000
91,4995,11,26994,8000
92,4994,11,26995,8000
93,4994,9,26997,8000
94,4993,8,26999,8000
95,4992,5,27003,8000
96,4992,4,27004,8000
97,4992,4,27004,8000
98,4992,3,27005,8000
99,4992,2,27006,8000
100,4992,2,27006,8000
101,4992,1,27007,8000
102,4992,0,27008,8000
