days,Susceptible,Infected,Recovered,Vaccinated
0,19999,1,0,20000
1,19999,1,0,20000
2,19999,1,0,20000
3,19999,1,0,20000
4,19999,1,0,20000
5,19999,1,0,20000
6,19998,2,0,20000
7,19998,1,1,20000
8,19998,1,1,20000
9,19997,2,1,20000
10,19997,2,1,20000
11,19997,2,1,20000
12,19996,3,1,20000
13,19996,2,2,20000
14,19996,2,2,20000
15,19994,4,2,20000
16,19994,3,3,20000
17,19993,4,3,20000
18,19993,4,3,20000
19,19992,4,4,20000
20,19991,5,4,20000
21,19991,5,4,20000
22,19991,3,6,20000
23,19991,3,6,20000
24,19990,3,7,20000
25,19989,4,7,20000
26,19987,5,8,20000
27,19984,7,9,20000
28,19983,8,9,20000
29,19983,8,9,20000
30,19983,8,9,20000
31,19981,9,10,20000
32,19977,12,11,20000
33,19976,11,13,20000
34,19972,12,16,20000
35,19971,12,17,20000
36,19967,16,17,20000
37,19965,18,17,20000
38,19961,20,19,20000
39,19957,20,23,20000
40,19956,20,24,20000
41,19953,19,28,20000
42,19949,22,29,20000
43,19948,19,33,20000
44,19944,21,35,20000
45,19942,19,39,20000
46,19939,18,43,20000
47,19937,19,44,20000
48,19933,20,47,20000
49,19929,20,51,20000
50,19923,25,52,20000
51,19918,26,56,20000
52,19915,27,58,20000
53,19909,30,61,20000
54,19905,32,63,20000
55,19900,33,67,20000
56,19895,34,71,20000
57,19890,33,77,20000
58,19883,35,82,20000
59,19880,35,85,20000
60,19872,37,91,20000
61,19863,42,95,20000
62,19851,49,100,20000
63,19841,54,105,20000
64,19830,60,110,20000
65,19821,62,117,20000
66,19804,76,120,20000
67,19793,79,128,20000
68,19778,85,137,20000
69,19763,88,149,20000
70,19746,95,159,20000
71,19730,100,170,20000
72,19715,106,179,20000
73,19688,116,196,20000
74,19670,123,207,20000
75,19652,126,222,20000
76,19625,138,237,20000
77,19604,142,254,20000
78,19580,150,270,20000
79,19550,165,285,20000
80,19525,163,312,20000
81,19496,174,330,20000
82,19464,188,348,20000
83,19436,189,375,20000
84,19405,199,396,20000
85,19368,212,420,20000
86,19325,225,450,20000
87,19284,241,475,20000
88,19238,258,504,20000
89,19191,273,536,20000
90,19143,293,564,20000
91,19076,329,595,20000
92,19029,339,632,20000
93,18963,362,675,20000
94,18897,387,716,20000
95,18818,420,762,20000
96,18734,457,809,20000
97,18640,503,857,20000
98,18559,517,924,20000
99,18478,551,971,20000
100,18402,561,1037,20000
101,18294,603,1103,20000
102,18196,622,1182,20000
103,18090,644,1266,20000
104,17980,660,1360,20000
105,17864,695,1441,20000
106,17758,720,1522,20000
107,17639,763,1598,20000
108,17504,790,1706,20000
109,17359,837,1804,20000
110,17223,867,1910,20000
111,17069,911,2020,20000
112,16896,968,2136,20000
113,16747,1011,2242,20000
114,16587,1052,2361,20000
115,16435,1069,2496,20000
116,16252,1107,2641,20000
117,16077,1146,2777,20000
118,15897,1172,2931,20000
119,15727,1169,3104,20000
120,15580,1167,3253,20000
121,15399,1188,3413,20000
122,15221,1214,3565,20000
123,15036,1216,3748,20000
124,14857,1220,3923,20000
125,14678,1219,4103,20000
126,14514,1213,4273,20000
127,14327,1253,4420,20000
128,14136,1263,4601,20000
129,13952,1269,4779,20000
130,13791,1245,4964,20000
