days,Susceptible,Infected,Recovered,Vaccinated
0,27999,1,0,12000
1,27999,1,0,12000
2,27998,2,0,12000
3,27998,2,0,12000
4,27998,2,0,12000
5,27998,2,0,12000
6,27997,3,0,12000
7,27997,2,1,12000
8,27997,2,1,12000
9,27996,2,2,12000
10,27996,2,2,12000
11,27996,2,2,12000
12,27995,3,2,12000
13,27995,2,3,12000
14,27995,2,3,12000
15,27992,5,3,12000
16,27990,6,4,12000
17,27987,9,4,12000
18,27985,11,4,12000
19,27981,14,5,12000
20,27977,18,5,12000
21,27975,20,5,12000
22,27970,22,8,12000
23,27966,24,10,12000
24,27958,29,13,12000
25,27952,33,15,12000
26,27942,39,19,12000
27,27928,49,23,12000
28,27920,55,25,12000
29,27908,62,30,12000
30,27896,70,34,12000
31,27881,77,42,12000
32,27854,98,48,12000
33,27834,108,58,12000
34,27807,121,72,12000
35,27778,142,80,12000
36,27734,174,92,12000
37,27685,211,104,12000
38,27626,255,119,12000
39,27564,290,146,12000
40,27501,333,166,12000
41,27406,401,193,12000
42,27308,470,222,12000
43,27197,537,266,12000
44,27061,624,315,12000
45,26910,716,374,12000
46,26756,808,436,12000
47,26573,928,499,12000
48,26342,1064,594,12000
49,26087,1221,692,12000
50,25796,1401,803,12000
51,25496,1565,939,12000
52,25126,1784,1090,12000
53,24680,2076,1244,12000
54,24195,2378,1427,12000
55,23657,2685,1658,12000
56,23059,3028,1913,12000
57,22356,3440,2204,12000
58,21650,3846,2504,12000
59,20858,4268,2874,12000
60,20057,4623,3320,12000
61,19221,4974,3805,12000
62,18304,5353,4343,12000
63,17351,5708,4941,12000
64,16469,5887,5644,12000
65,15554,6096,6350,12000
66,14645,6213,7142,12000
67,13816,6241,7943,12000
68,13012,6209,8779,12000
69,12235,6069,9696,12000
70,11541,5810,10649,12000
71,10906,5563,11531,12000
72,10342,5212,12446,12000
73,9836,4809,13355,12000
74,9357,4459,14184,12000
75,8940,4072,14988,12000
76,8575,3660,15765,12000
77,8241,3300,16459,12000
78,7976,2930,17094,12000
79,7714,2628,17658,12000
80,7508,2328,18164,12000
81,7350,2007,18643,12000
82,7211,1729,19060,12000
83,7095,1480,19425,12000
84,6993,1248,19759,12000
85,6911,1065,20024,12000
86,6838,876,20286,12000
87,6770,738,20492,12000
88,6720,630,20650,12000
89,6695,516,20789,12000
90,6662,433,20905,12000
91,6631,362,21007,12000
92,6607,304,21089,12000
93,6581,257,21162,12000
94,6565,205,21230,12000
95,6553,167,21280,12000
96,6541,154,21305,12000
97,6529,133,21338,12000
98,6525,106,21369,12000
99,6520,87,21393,12000
100,6517,64,21419,12000
