days,Susceptible,Infected,Recovered,Vaccinated
181,8151,0,15849,16000
182,8151,0,15849,16000
183,8151,0,15849,16000
184,8151,0,15849,16000
185,8151,0,15849,16000
186,8151,0,15849,16000
187,8151,0,15849,16000
188,8151,0,15849,16000
189,8151,0,15849,16000
190,8151,0,15849,16000
191,8151,0,15849,16000
192,8151,0,15849,16000
193,8151,0,15849,16000
194,8151,0,15849,16000
195,8151,0,15849,16000
196,8151,0,15849,16000
197,8151,0,15849,16000
198,8151,0,15849,16000
199,8151,0,15849,16000
200,8151,0,15849,16000
201,8151,0,15849,16000
202,8151,0,15849,16000
203,8151,0,15849,16000
204,8151,0,15849,16000
205,8151,0,15849,16000
206,8151,0,15849,16000
207,8151,0,15849,16000
208,8151,0,15849,16000
209,8151,0,15849,16000
210,8151,0,15849,16000
211,8151,0,15849,16000
212,8151,0,15849,16000
213,8151,0,15849,16000
214,8151,0,15849,16000
215,8151,0,15849,16000
216,8151,0,15849,16000
217,8151,0,15849,16000
218,8151,0,15849,16000
219,8151,0,15849,16000
220,8151,0,15849,16000
221,8151,0,15849,16000
222,8151,0,15849,16000
223,8151,0,15849,16000
224,8151,0,15849,16000
225,8151,0,15849,16000
226,8151,0,15849,16000
227,8151,0,15849,16000
228,8151,0,15849,16000
229,8151,0,15849,16000
230,8151,0,15849,16000
231,8151,0,15849,16000
232,8151,0,15849,16000
233,8151,0,15849,16000
234,8151,0,15849,16000
235,8151,0,15849,16000
236,8151,0,15849,16000
237,8151,0,15849,16000
238,8151,0,15849,16000
239,8151,0,15849,16000
240,8151,0,15849,16000
241,8151,0,15849,16000
242,8151,0,15849,16000
243,8151,0,15849,16000
244,8151,0,15849,16000
245,8151,0,15849,16000
246,8151,0,15849,16000
247,8151,0,15849,16000
248,8151,0,15849,16000
249,8151,0,15849,16000
250,8151,0,15849,16000
251,8151,0,15849,16000
252,8151,0,15849,16000
253,8151,0,15849,16000
254,8151,0,15849,16000
255,8151,0,15849,16000
256,8151,0,15849,16000
257,8151,0,15849,16000
258,8151,0,15849,16000
259,8151,0,15849,16000
260,8151,0,15849,16000
261,8151,0,15849,16000
262,8151,0,15849,16000
263,8151,0,15849,16000
264,8151,0,15849,16000
265,8151,0,15849,16000
266,8151,0,15849,16000
267,8151,0,15849,16000
268,8151,0,15849,16000
269,8151,0,15849,16000
270,8151,0,15849,16000
271,8151,0,15849,16000
272,8151,0,15849,16000
273,8151,0,15849,16000
274,8151,0,15849,16000
275,8151,0,15849,16000
276,8151,0,15849,16000
277,8151,0,15849,16000
278,8151,0,15849,16000
279,8151,0,15849,16000
280,8151,0,15849,16000
281,8151,0,15849,16000
282,8151,0,15849,16000
283,8151,0,15849,16000
284,8151,0,15849,16000
285,8151,0,15849,16000
286,8151,0,15849,16000
287,8151,0,15849,16000
288,8151,0,15849,16000
289,8151,0,15849,16000
290,8151,0,15849,16000
291,8151,0,15849,16000
292,8151,0,15849,16000
293,8151,0,15849,16000
294,8151,0,15849,16000
295,8151,0,15849,16000
296,8151,0,15849,16000
297,8151,0,15849,16000
298,8151,0,15849,16000
299,8151,0,15849,16000
300,8151,0,15849,16000
