days,Susceptible,Infected,Recovered,Vaccinated
0,23999,1,0,16000
1,23999,1,0,16000
2,23998,2,0,16000
3,23998,2,0,16000
4,23998,2,0,16000
5,23998,2,0,16000
6,23997,3,0,16000
7,23997,2,1,16000
8,23997,2,1,16000
9,23996,2,2,16000
10,23996,2,2,16000
11,23996,2,2,16000
12,23995,3,2,16000
13,23995,2,3,16000
14,23995,2,3,16000
15,23992,5,3,16000
16,23992,4,4,16000
17,23991,5,4,16000
18,23990,6,4,16000
19,23989,6,5,16000
20,23986,9,5,16000
21,23985,10,5,16000
22,23984,8,8,16000
23,23983,9,8,16000
24,23982,9,9,16000
25,23980,10,10,16000
26,23977,12,11,16000
27,23972,14,14,16000
28,23970,15,15,16000
29,23969,15,16,16000
30,23967,16,17,16000
31,23962,20,18,16000
32,23953,27,20,16000
33,23951,26,23,16000
34,23942,30,28,16000
35,23939,31,30,16000
36,23926,43,31,16000
37,23915,52,33,16000
38,23899,63,38,16000
39,23883,70,47,16000
40,23874,77,49,16000
41,23856,86,58,16000
42,23842,97,61,16000
43,23826,100,74,16000
44,23800,115,85,16000
45,23778,121,101,16000
46,23756,127,117,16000
47,23730,144,126,16000
48,23705,151,144,16000
49,23669,173,158,16000
50,23622,204,174,16000
51,23586,214,200,16000
52,23553,225,222,16000
53,23512,244,244,16000
54,23464,266,270,16000
55,23397,308,295,16000
56,23316,353,331,16000
57,23243,379,378,16000
58,23164,422,414,16000
59,23083,470,447,16000
60,22984,528,488,16000
61,22881,583,536,16000
62,22757,640,603,16000
63,22614,702,684,16000
64,22478,765,757,16000
65,22322,842,836,16000
66,22142,941,917,16000
67,21958,1026,1016,16000
68,21756,1125,1119,16000
69,21518,1239,1243,16000
70,21304,1310,1386,16000
71,21039,1439,1522,16000
72,20746,1576,1678,16000
73,20423,1719,1858,16000
74,20079,1879,2042,16000
75,19675,2081,2244,16000
76,19259,2259,2482,16000
77,18844,2460,2696,16000
78,18433,2606,2961,16000
79,17959,2787,3254,16000
80,17460,2963,3577,16000
81,16967,3112,3921,16000
82,16473,3202,4325,16000
83,15958,3301,4741,16000
84,15460,3384,5156,16000
85,14947,3486,5567,16000
86,14437,3522,6041,16000
87,13923,3537,6540,16000
88,13437,3530,7033,16000
89,12966,3507,7527,16000
90,12540,3418,8042,16000
91,12107,3353,8540,16000
92,11725,3222,9053,16000
93,11345,3092,9563,16000
94,10976,2947,10077,16000
95,10656,2781,10563,16000
96,10383,2583,11034,16000
97,10135,2405,11460,16000
98,9921,2186,11893,16000
99,9728,1997,12275,16000
100,9563,1782,12655,16000
101,9404,1572,13024,16000
102,9260,1396,13344,16000
103,9137,1246,13617,16000
104,9029,1106,13865,16000
105,8924,997,14079,16000
106,8828,900,14272,16000
107,8758,805,14437,16000
108,8689,715,14596,16000
109,8615,645,14740,16000
110,8566,571,14863,16000
111,8517,512,14971,16000
112,8460,464,15076,16000
113,8420,408,15172,16000
114,8390,368,15242,16000
115,8362,327,15311,16000
116,8333,282,15385,16000
117,8313,253,15434,16000
118,8300,217,15483,16000
119,8274,186,15540,16000
120,8259,161,15580,16000
121,8247,143,15610,16000
122,8230,132,15638,16000
123,8224,109,15667,16000
124,8214,99,15687,16000
125,8208,92,15700,16000
126,8195,79,15726,16000
127,8190,69,15741,16000
128,8187,60,15753,16000
129,8184,46,15770,16000
130,8180,44,15776,16000
131,8173,41,15786,16000
132,8167,41,15792,16000
133,8164,31,15805,16000
134,8163,27,15810,16000
135,8162,25,15813,16000
136,8162,22,15816,16000
137,8159,21,15820,16000
138,8157,16,15827,16000
139,8156,11,15833,16000
140,8156,8,15836,16000
141,8156,7,15837,16000
142,8156,6,15838,16000
143,8154,8,15838,16000
144,8154,5,15841,16000
145,8153,4,15843,16000
146,8153,3,15844,16000
147,8153,3,15844,16000
148,8153,3,15844,16000
149,8153,3,15844,16000
150,8153,1,15846,16000
151,8152,2,15846,16000
152,8152,1,15847,16000
153,8152,1,15847,16000
154,8152,1,15847,16000
155,8151,2,15847,16000
156,8151,2,15847,16000
157,8151,2,15847,16000
158,8151,1,15848,16000
159,8151,1,15848,16000
160,8151,1,15848,16000
161,8151,1,15848,16000
162,8151,0,15849,16000
163,8151,0,15849,16000
164,8151,0,15849,16000
165,8151,0,15849,16000
166,8151,0,15849,16000
167,8151,0,15849,16000
168,8151,0,15849,16000
169,8151,0,15849,16000
170,8151,0,15849,16000
171,8151,0,15849,16000
172,8151,0,15849,16000
173,8151,0,15849,16000
174,8151,0,15849,16000
175,8151,0,15849,16000
176,8151,0,15849,16000
177,8151,0,15849,16000
178,8151,0,15849,16000
179,8151,0,15849,16000
180,8151,0,15849,16000
